episode,level,reward,steps,epsilon
1,3,-359.8933871263811,2501,1.0
2,3,-473.23631432216973,1713,0.995
3,3,-254.64522460845066,620,0.990025
4,3,-263.01818752537605,609,0.985074875
5,3,-347.35339074485603,1429,0.9801495006250001
6,3,-253.36938583666813,496,0.9752487531218751
7,3,-271.99573969352485,534,0.9703725093562657
8,3,-224.50036534359845,355,0.9655206468094844
9,3,-359.8372899226195,1451,0.960693043575437
10,3,-262.17456279230146,604,0.9558895783575597
11,3,-200.60778477983663,273,0.9511101304657719
12,3,-233.8406222674672,435,0.946354579813443
13,3,-231.22734144806483,462,0.9416228069143757
14,3,-266.48783615812494,605,0.9369146928798039
15,3,-262.53677361626967,724,0.9322301194154049
16,3,-312.38249117762575,894,0.9275689688183278
17,3,-226.11227708961349,387,0.9229311239742362
18,3,-186.13420397462292,135,0.918316468354365
19,3,-207.58019063803806,259,0.9137248860125932
20,3,-277.54160938956863,836,0.9091562615825302
21,3,-351.457136517092,1461,0.9046104802746175
22,3,-195.09276643308485,239,0.9000874278732445
23,3,-197.39133117176584,216,0.8955869907338783
24,3,-265.63114062727374,549,0.8911090557802088
25,3,-196.67162495731938,204,0.8866535105013078
26,3,-213.24494890643507,292,0.8822202429488013
27,3,-203.83120497194784,235,0.8778091417340573
28,3,-219.86255817278163,375,0.8734200960253871
29,3,-227.2745698128783,365,0.8690529955452602
30,3,-192.0702704063031,176,0.8647077305675338
31,3,-194.64942760009745,194,0.8603841919146962
32,3,-238.37159898083053,424,0.8560822709551227
33,3,-197.12066329660945,205,0.851801859600347
34,3,-188.8798933751083,132,0.8475428503023453
35,3,-204.3154005947232,231,0.8433051360508336
36,3,-190.83750052243397,144,0.8390886103705794
37,3,-190.9521078837916,135,0.8348931673187264
38,3,-197.54483354080253,204,0.8307187014821328
39,3,-189.8280643334279,191,0.8265651079747222
40,3,-213.720093591811,271,0.8224322824348486
41,3,-201.6720204870115,286,0.8183201210226743
42,3,-197.3859357886206,177,0.8142285204175609
43,3,-192.26410635520617,154,0.810157377815473
44,3,-189.60441278399955,174,0.8061065909263957
45,3,-192.88517818340995,187,0.8020760579717637
46,3,-201.48375278091353,225,0.798065677681905
47,3,-198.97086170256628,232,0.7940753492934954
48,3,-189.6713383699892,148,0.7901049725470279
49,3,-195.33299890110254,181,0.7861544476842928
50,3,-194.43545078152198,158,0.7822236754458713
51,3,-185.56855816919574,82,0.778312557068642
52,3,-195.61025952055715,168,0.7744209942832988
53,3,-192.62074131197502,172,0.7705488893118823
54,3,-187.07442925816918,130,0.7666961448653229
55,3,-187.3382675919708,126,0.7628626641409962
56,3,-186.12101278399956,109,0.7590483508202912
57,3,-186.66924029430353,109,0.7552531090661897
58,3,-191.21516397370826,162,0.7514768435208588
59,3,-192.3167767007051,170,0.7477194593032545
60,3,-188.23510674843624,160,0.7439808620067382
61,3,-193.96203035277549,167,0.7402609576967045
62,3,-187.94324413999934,150,0.736559652908221
63,3,-192.55276952415412,153,0.7328768546436799
64,3,-188.74974398672444,133,0.7292124703704616
65,3,-191.47375340395095,162,0.7255664080186093
66,3,-199.23581523831697,243,0.7219385759785162
67,3,-191.0798643845863,183,0.7183288830986236
68,3,-185.63858130676505,90,0.7147372386831305
69,3,-186.8082345585463,121,0.7111635524897149
70,3,-191.4484698448349,146,0.7076077347272662
71,3,-185.03682273067776,114,0.7040696960536299
72,3,-187.65108311947537,99,0.7005493475733617
73,3,-186.119322592725,97,0.697046600835495
74,3,-189.60379174036578,101,0.6935613678313175
75,3,-186.9140262118137,114,0.6900935609921609
76,3,-188.23248554430327,124,0.6866430931872001
77,3,-187.68932616235318,116,0.6832098777212641
78,3,-186.2263473740639,94,0.6797938283326578
79,3,-190.9653658672252,158,0.6763948591909945
80,3,-185.67612825126386,111,0.6730128848950395
81,3,-185.4584880062149,101,0.6696478204705644
82,3,-191.0330416995929,155,0.6662995813682115
83,3,-186.42555071462198,85,0.6629680834613705
84,3,-191.762381295605,136,0.6596532430440636
85,3,-185.1793954876484,82,0.6563549768288433
86,3,-186.2811777858787,103,0.653073201944699
87,3,-185.73119548764842,101,0.6498078359349755
88,3,-187.42915816919574,112,0.6465587967553006
89,3,-191.6138186082795,147,0.6433260027715241
90,3,-188.10382851347583,110,0.6401093727576664
91,3,-184.71357777337585,100,0.6369088258938781
92,3,-192.24660432784927,137,0.6337242817644086
93,3,-187.15098546740285,96,0.6305556603555866
94,3,-190.09134197010877,121,0.6274028820538087
95,3,-186.03717026638353,113,0.6242658676435396
96,3,-186.61223855335567,105,0.6211445383053219
97,3,-184.94407539243647,89,0.6180388156137953
