episode,level,reward,steps,loss,epsilon
1,5,-17.0,126,0.0,1.0
2,5,-23.0,152,0.04370236024260521,0.995
3,5,40.0,249,0.8571145534515381,0.990025
4,5,84.0,275,0.07154636085033417,0.985074875
5,5,-15.5,126,0.043266624212265015,0.9801495006250001
6,5,81.5,237,1.5955597162246704,0.9752487531218751
7,5,165.0,288,0.03437015414237976,0.9703725093562657
8,5,-29.5,136,0.04849476367235184,0.9655206468094844
9,5,-20.0,138,0.038976553827524185,0.960693043575437
10,5,-15.0,134,0.03133176639676094,0.9558895783575597
11,5,-15.0,125,0.02482982724905014,0.9511101304657719
12,5,-17.5,120,1.6041526794433594,0.946354579813443
13,5,-14.5,127,0.806854248046875,0.9416228069143757
14,5,-19.0,125,0.021846123039722443,0.9369146928798039
15,5,340.5,431,0.015296587720513344,0.9322301194154049
16,5,-22.0,125,0.04714846611022949,0.9275689688183278
17,5,-24.5,129,0.8360335230827332,0.9229311239742362
18,5,-13.5,124,0.04459647461771965,0.918316468354365
19,5,-25.5,131,2.347402811050415,0.9137248860125932
20,5,-13.5,121,0.01256691012531519,0.9091562615825302
21,5,-10.5,134,1.6003930568695068,0.9046104802746175
22,5,-17.5,137,3.168950319290161,0.9000874278732445
23,5,-11.0,125,0.8224025964736938,0.8955869907338783
24,5,-17.0,143,0.8093973994255066,0.8911090557802088
25,5,-12.5,129,0.8249879479408264,0.8866535105013078
26,5,-19.0,131,1.5909240245819092,0.8822202429488013
27,5,-15.5,129,0.8026241660118103,0.8778091417340573
28,5,-13.5,127,0.8023480176925659,0.8734200960253871
29,5,-13.0,133,0.02839692309498787,0.8690529955452602
30,5,-18.5,131,1.5808411836624146,0.8647077305675338
31,5,-17.0,130,2.3950119018554688,0.8603841919146962
32,5,-10.5,118,0.0387047678232193,0.8560822709551227
33,5,-24.5,128,0.7977446913719177,0.851801859600347
34,5,72.5,244,0.03426261246204376,0.8475428503023453
35,5,69.0,228,0.7913152575492859,0.8433051360508336
36,5,-11.5,119,0.8117882013320923,0.8390886103705794
37,5,-25.0,130,0.028895005583763123,0.8348931673187264
38,5,-20.0,123,0.8111347556114197,0.8307187014821328
39,5,-16.5,121,0.018742654472589493,0.8265651079747222
40,5,-18.0,130,0.033759698271751404,0.8224322824348486
41,5,-13.5,128,0.79669189453125,0.8183201210226743
42,5,-21.5,119,0.3998740315437317,0.8142285204175609
43,5,-20.0,121,1.586432695388794,0.810157377815473
44,5,91.5,562,0.8046404719352722,0.8061065909263957
45,5,-9.5,126,0.804618775844574,0.8020760579717637
46,5,-19.5,127,0.017602641135454178,0.798065677681905
47,5,139.5,286,0.825790286064148,0.7940753492934954
48,5,65.0,235,0.8054731488227844,0.7901049725470279
49,5,-20.0,122,0.7967870831489563,0.7861544476842928
50,5,-12.5,128,0.07053246349096298,0.7822236754458713
51,5,-18.0,130,0.4368545711040497,0.778312557068642
52,5,5.5,159,0.8277201652526855,0.7744209942832988
53,5,-34.5,126,0.024334901943802834,0.7705488893118823
54,5,146.0,288,0.046241335570812225,0.7666961448653229
55,5,-16.5,125,0.07406023144721985,0.7628626641409962
56,5,-15.5,127,0.018756363540887833,0.7590483508202912
57,5,-26.0,135,0.8076494336128235,0.7552531090661897
58,5,-23.5,125,0.020703136920928955,0.7514768435208588
59,5,-16.5,139,0.8101101517677307,0.7477194593032545
60,5,-13.5,120,0.8081162571907043,0.7439808620067382
61,5,-22.5,119,0.034178249537944794,0.7402609576967045
62,5,-21.0,129,0.7981013059616089,0.736559652908221
